top # of balance,,spam_score,adr,balance@0516,note,
690,spam_score:,92,GB7Q5JYNG3S3FNMPSJOHT7AKP4XAVRXSCP5SXXUKVARNZOXA4M2VCHR2,"14,523 ",,
11537,spam_score:,92,GAS7CJIWKDAMOMXC7YFWAJK3TPGGLWB2TFCW56Q5MQPBBEPD3XX2FTTP,25 ,,
12702,spam_score:,92,GDUFCGTYQZPLSPA4BNID2WW52F5GPEYQDFAK6QBLPANMJW2LVTGEKQ2I,3 ,,
9044,spam_score:,91,GD4P3XTVAJ6DEGI22IPMCDDOQL2MFPO42SLOK3XQII7GJLDQMCUDAR25,687 ,,
13170,spam_score:,91,GDGFQQNMBHFYC6GHGJDQSIPF4RIUCEQZL5JXK2NTA5L35RW42UQH7FQO,2 ,,
11017,spam_score:,89,GDV26DVMQUATTZTBSV55YXZF6DWFIM5BY2W5C5OTWMAOHUKTLOTWNP3D,72 ,,
11191,spam_score:,89,GBYDR6RRQOJVSXQWQ7ZKP7K2EMU5FPTHFQAG2UBGIAGOZ6XTQPKXO4EI,52 ,,
3362,spam_score:,87,GBAP4QRCPBDFGCHQDDL4Z7ZQOCCRFAHZRWID2DE5P7DABLDQPDKQ23DI,"3,608 ",,
12680,spam_score:,86,GBSYSS4EKNNN4ZJHZ6E7CNAFFG7AEX7ERDGYAGIK6MUFT7JQ4WDOCZLF,3 ,,
14403,spam_score:,86,GCTOVN3JEH3X3JTGY36HVECI43NQ63TTTFDBXMA6XSQ7NGCQZKHBJAWH,1 ,,
5829,spam_score:,85,GDHM7GETQR5UVLTDI7RWCTCBIU2CWCQC6QBQOJP5NUOFIU6ZMJMRWUYW,"1,873 ",,
11519,spam_score:,85,GAAJHNZZ3DF34LQWXCY5TEBRXFJBMKA5FRSA7BYYDABHXLBJJD2LOLKO,26 ,,
14148,spam_score:,85,GAXBWL4MFHQLWTT3WYSJXQXQXRRWADK2VU2KRI3XJJ4IVJMOGVA5R6MH,1 ,,
10279,spam_score:,83,GB4FADHHOKKZPUNFYM6GUBLBXWPZPUMWS35L2BWQN72FAXY5LMPPKVQY,281 ,,
14067,spam_score:,83,GD6ACMVPCNALXJ2IRGD3HNZHJQN4JQ56H2OYJAUSXLHBFBRPB3VTNUGK,1 ,,
4744,spam_score:,82,GBCPXDQ5LOM6VJ6JXSPW4NYBQOV6OAFNWNZVQECE2CE4XXLQHLEPVZT4,"2,463 ",,
14634,spam_score:,82,GAABLYMIJPQP5EG5UUM7VRYVGUVNJ6GHDO7YKQZYLF5V5ZF7UVKYDMQB,1 ,,
14758,spam_score:,82,GA4Q4G6BCMVDIF5TZVZWSHXVEX5ZCBHIQZU5VLX32CZFHRTZIV4LOQY3,1 ,,
13711,spam_score:,81,GCCQIEVHL64BEFUYJOLKKFYBI7NFQ6Z4CJYIA5I36Y7MT7GKNDVA57QX,2 ,,
13928,spam_score:,81,GB2NI7U4V7Z5HWKSHBELUY7DRSLMJXIYEM4DXFIVCRAXVITQAYIQKU6T,1 ,,
14550,spam_score:,81,GCEFO6LUI7BGPTFYRQEFEY54KBXFHAYLCVS6FRVO4PA2WXNFB6M4JJGW,1 ,,
